date,time,seconds,rr
12/4/2012,7:33:27 AM,109.793,0.717
12/4/2012,7:33:28 AM,110.514,0.721
12/4/2012,7:33:28 AM,111.225,0.711
12/4/2012,7:33:29 AM,111.968,0.743
12/4/2012,7:33:30 AM,112.708,0.74
12/4/2012,7:33:30 AM,113.446,0.738
12/4/2012,7:33:31 AM,114.178,0.732
12/4/2012,7:33:32 AM,114.9,0.722
12/4/2012,7:33:33 AM,115.629,0.729
12/4/2012,7:33:33 AM,116.34,0.711
12/4/2012,7:33:34 AM,117.045,0.705
12/4/2012,7:33:35 AM,117.749,0.704
12/4/2012,7:33:35 AM,118.449,0.7
12/4/2012,7:33:36 AM,119.122,0.673
12/4/2012,7:33:37 AM,119.818,0.696
12/4/2012,7:33:38 AM,120.503,0.685
12/4/2012,7:33:38 AM,121.175,0.672
12/4/2012,7:33:39 AM,121.853,0.678
12/4/2012,7:33:40 AM,122.536,0.683
12/4/2012,7:33:40 AM,123.212,0.676
12/4/2012,7:33:41 AM,123.879,0.667
12/4/2012,7:33:42 AM,124.556,0.677
12/4/2012,7:33:42 AM,125.23,0.674
12/4/2012,7:33:43 AM,125.902,0.672
12/4/2012,7:33:44 AM,126.585,0.683
12/4/2012,7:33:44 AM,127.276,0.691
12/4/2012,7:33:45 AM,127.962,0.686
12/4/2012,7:33:46 AM,128.665,0.703
12/4/2012,7:33:46 AM,129.392,0.727
12/4/2012,7:33:47 AM,130.134,0.742
12/4/2012,7:33:48 AM,130.875,0.741
12/4/2012,7:33:49 AM,131.64,0.765
12/4/2012,7:33:50 AM,133.192,1.552
12/4/2012,7:33:51 AM,133.983,0.791
12/4/2012,7:33:52 AM,134.771,0.788
12/4/2012,7:33:53 AM,135.548,0.777
12/4/2012,7:33:53 AM,136.325,0.777
12/4/2012,7:33:54 AM,137.11,0.785
12/4/2012,7:33:55 AM,137.882,0.772
12/4/2012,7:33:56 AM,138.647,0.765
12/4/2012,7:33:56 AM,139.425,0.778
12/4/2012,7:33:57 AM,140.223,0.798
12/4/2012,7:33:58 AM,141.046,0.823
12/4/2012,7:33:59 AM,141.874,0.828
12/4/2012,7:34:00 AM,142.735,0.861
12/4/2012,7:34:01 AM,143.618,0.883
12/4/2012,7:34:02 AM,144.533,0.915
12/4/2012,7:34:02 AM,145.435,0.902
12/4/2012,7:34:03 AM,146.3,0.865
12/4/2012,7:34:04 AM,147.181,0.881
12/4/2012,7:34:05 AM,148.058,0.877
12/4/2012,7:34:06 AM,148.894,0.836
12/4/2012,7:34:07 AM,149.73,0.836
12/4/2012,7:34:08 AM,150.594,0.864
12/4/2012,7:34:08 AM,151.45,0.856
12/4/2012,7:34:09 AM,152.291,0.841
12/4/2012,7:34:10 AM,153.125,0.834
12/4/2012,7:34:11 AM,153.929,0.804
12/4/2012,7:34:12 AM,154.722,0.793
12/4/2012,7:34:13 AM,155.528,0.806
12/4/2012,7:34:13 AM,156.338,0.81
12/4/2012,7:34:14 AM,157.142,0.804
12/4/2012,7:34:15 AM,157.92,0.778
12/4/2012,7:34:16 AM,158.694,0.774
12/4/2012,7:34:16 AM,159.477,0.783
12/4/2012,7:34:17 AM,160.232,0.755
12/4/2012,7:34:18 AM,160.983,0.751
12/4/2012,7:34:19 AM,161.75,0.767
