seconds,rr,time,date
31173,1.059,8:39:33 AM,3/28/2022
31174.059,1.059,8:39:34 AM,3/28/2022
31175.118,0.964,8:39:35 AM,3/28/2022
31176.082,1.016,8:39:36 AM,3/28/2022
31177.098,1.245,8:39:37 AM,3/28/2022
31178.343,1.171,8:39:38 AM,3/28/2022
31179.514,1.205,8:39:40 AM,3/28/2022
31180.719,1.224,8:39:41 AM,3/28/2022
31181.943,1.192,8:39:42 AM,3/28/2022
31183.135,1.197,8:39:43 AM,3/28/2022
31184.332,1.164,8:39:44 AM,3/28/2022
31185.496,1.205,8:39:45 AM,3/28/2022
31186.701,1.18,8:39:47 AM,3/28/2022
31187.881,1.188,8:39:48 AM,3/28/2022
31189.069,1.158,8:39:49 AM,3/28/2022
31190.227,1.148,8:39:50 AM,3/28/2022
31191.375,1.139,8:39:51 AM,3/28/2022
31192.514,1.092,8:39:53 AM,3/28/2022
31193.606,1.09,8:39:54 AM,3/28/2022
31194.696,1.083,8:39:55 AM,3/28/2022
31195.779,1.056,8:39:56 AM,3/28/2022
31196.835,1.09,8:39:57 AM,3/28/2022
31197.925,1.1,8:39:58 AM,3/28/2022
31199.025,1.087,8:39:59 AM,3/28/2022
31200.112,1.18,8:40:00 AM,3/28/2022
31201.292,1.236,8:40:01 AM,3/28/2022
31202.528,1.276,8:40:03 AM,3/28/2022
31203.804,1.284,8:40:04 AM,3/28/2022
31205.088,1.154,8:40:05 AM,3/28/2022
31206.242,1.187,8:40:06 AM,3/28/2022
31207.429,1.15,8:40:07 AM,3/28/2022
31208.579,1.119,8:40:09 AM,3/28/2022
31209.698,1.125,8:40:10 AM,3/28/2022
31210.823,1.137,8:40:11 AM,3/28/2022
31211.96,1.121,8:40:12 AM,3/28/2022
31213.081,1.135,8:40:13 AM,3/28/2022
31214.216,1.147,8:40:14 AM,3/28/2022
31215.363,1.159,8:40:15 AM,3/28/2022
31216.522,1.183,8:40:17 AM,3/28/2022
31217.705,1.115,8:40:18 AM,3/28/2022
31218.82,1.079,8:40:19 AM,3/28/2022
31219.899,1.046,8:40:20 AM,3/28/2022
31220.945,1.03,8:40:21 AM,3/28/2022
31221.975,0.947,8:40:22 AM,3/28/2022
31222.922,0.989,8:40:23 AM,3/28/2022
31223.911,1.037,8:40:24 AM,3/28/2022
31224.948,1.04,8:40:25 AM,3/28/2022
31225.988,1.123,8:40:26 AM,3/28/2022
31227.111,1.141,8:40:27 AM,3/28/2022
31228.252,1.077,8:40:28 AM,3/28/2022
31229.329,1.135,8:40:29 AM,3/28/2022
31230.464,1.116,8:40:30 AM,3/28/2022
31231.58,1.081,8:40:32 AM,3/28/2022
31232.661,1.116,8:40:33 AM,3/28/2022
31233.777,1.14,8:40:34 AM,3/28/2022
31234.917,1.019,8:40:35 AM,3/28/2022
31235.936,0.994,8:40:36 AM,3/28/2022
31236.93,1.036,8:40:37 AM,3/28/2022
31237.966,1.065,8:40:38 AM,3/28/2022
31239.031,1,8:40:39 AM,3/28/2022
31240.031,1.027,8:40:40 AM,3/28/2022
31241.058,1.023,8:40:41 AM,3/28/2022
31242.081,0.982,8:40:42 AM,3/28/2022
31243.063,0.988,8:40:43 AM,3/28/2022
31244.051,1.079,8:40:44 AM,3/28/2022
31245.13,1.099,8:40:45 AM,3/28/2022
31246.229,1.122,8:40:46 AM,3/28/2022
