seconds,rr,time,date
31976,1.068,8:52:56 AM,3/29/2022
31977.068,1.068,8:52:57 AM,3/29/2022
31978.136,1.067,8:52:58 AM,3/29/2022
31979.203,1.046,8:52:59 AM,3/29/2022
31980.249,1.009,8:53:00 AM,3/29/2022
31981.258,1.007,8:53:01 AM,3/29/2022
31982.265,1.003,8:53:02 AM,3/29/2022
31983.268,1.047,8:53:03 AM,3/29/2022
31984.315,1.092,8:53:04 AM,3/29/2022
31985.407,1.135,8:53:05 AM,3/29/2022
31986.542,1.131,8:53:07 AM,3/29/2022
31987.673,1.035,8:53:08 AM,3/29/2022
31988.708,1.002,8:53:09 AM,3/29/2022
31989.71,0.935,8:53:10 AM,3/29/2022
31990.645,0.897,8:53:11 AM,3/29/2022
31991.542,0.962,8:53:12 AM,3/29/2022
31992.504,1.064,8:53:13 AM,3/29/2022
31993.568,1.126,8:53:14 AM,3/29/2022
31994.694,1.045,8:53:15 AM,3/29/2022
31995.739,0.973,8:53:16 AM,3/29/2022
31996.712,0.973,8:53:17 AM,3/29/2022
31997.685,0.982,8:53:18 AM,3/29/2022
31998.667,1.084,8:53:19 AM,3/29/2022
31999.751,1.136,8:53:20 AM,3/29/2022
32000.887,1.141,8:53:21 AM,3/29/2022
32002.028,1.308,8:53:22 AM,3/29/2022
32003.336,1.187,8:53:23 AM,3/29/2022
32004.523,1.2,8:53:25 AM,3/29/2022
32005.723,1.15,8:53:26 AM,3/29/2022
32006.873,1.144,8:53:27 AM,3/29/2022
32008.017,1.101,8:53:28 AM,3/29/2022
32009.118,1.03,8:53:29 AM,3/29/2022
32010.148,1.086,8:53:30 AM,3/29/2022
32011.234,1.004,8:53:31 AM,3/29/2022
32012.238,0.958,8:53:32 AM,3/29/2022
32013.196,0.976,8:53:33 AM,3/29/2022
32014.172,1.138,8:53:34 AM,3/29/2022
32015.31,1.088,8:53:35 AM,3/29/2022
32016.398,1.083,8:53:36 AM,3/29/2022
32017.481,1.128,8:53:37 AM,3/29/2022
32018.609,1.083,8:53:39 AM,3/29/2022
32019.692,1.159,8:53:40 AM,3/29/2022
32020.851,1.157,8:53:41 AM,3/29/2022
32022.008,1.05,8:53:42 AM,3/29/2022
32023.058,1.105,8:53:43 AM,3/29/2022
32024.163,1.103,8:53:44 AM,3/29/2022
32025.266,1.095,8:53:45 AM,3/29/2022
32026.361,1.106,8:53:46 AM,3/29/2022
32027.467,1.133,8:53:47 AM,3/29/2022
32028.6,1.144,8:53:49 AM,3/29/2022
32029.744,1.084,8:53:50 AM,3/29/2022
32030.828,1.143,8:53:51 AM,3/29/2022
32031.971,1.205,8:53:52 AM,3/29/2022
32033.176,1.2,8:53:53 AM,3/29/2022
32034.376,1.155,8:53:54 AM,3/29/2022
32035.531,1.146,8:53:56 AM,3/29/2022
32036.677,1.062,8:53:57 AM,3/29/2022
32037.739,1.082,8:53:58 AM,3/29/2022
32038.821,1.097,8:53:59 AM,3/29/2022
32039.918,1.094,8:54:00 AM,3/29/2022
32041.012,1.088,8:54:01 AM,3/29/2022
32042.1,1.101,8:54:02 AM,3/29/2022
32043.201,1.087,8:54:03 AM,3/29/2022
32044.288,1.097,8:54:04 AM,3/29/2022
32045.385,1.137,8:54:05 AM,3/29/2022
32046.522,1.201,8:54:07 AM,3/29/2022
32047.723,1.15,8:54:08 AM,3/29/2022
32048.873,1.192,8:54:09 AM,3/29/2022
32050.065,1.209,8:54:10 AM,3/29/2022
32051.274,1.147,8:54:11 AM,3/29/2022
32052.421,1.174,8:54:12 AM,3/29/2022
32053.595,1.13,8:54:14 AM,3/29/2022
32054.725,1.08,8:54:15 AM,3/29/2022
32055.805,1.072,8:54:16 AM,3/29/2022
32056.877,1.044,8:54:17 AM,3/29/2022
32057.921,1.003,8:54:18 AM,3/29/2022
32058.924,1.02,8:54:19 AM,3/29/2022
32059.944,1.058,8:54:20 AM,3/29/2022
32061.002,1.021,8:54:21 AM,3/29/2022
32062.023,1.055,8:54:22 AM,3/29/2022
32063.078,1.137,8:54:23 AM,3/29/2022
32064.215,1.136,8:54:24 AM,3/29/2022
32065.351,1.108,8:54:25 AM,3/29/2022
32066.459,1.037,8:54:26 AM,3/29/2022
32067.496,0.954,8:54:27 AM,3/29/2022
32068.45,0.92,8:54:28 AM,3/29/2022
32069.37,0.923,8:54:29 AM,3/29/2022
32070.293,0.951,8:54:30 AM,3/29/2022
32071.244,0.95,8:54:31 AM,3/29/2022
32072.194,0.982,8:54:32 AM,3/29/2022
32073.176,1.069,8:54:33 AM,3/29/2022
32074.245,1.164,8:54:34 AM,3/29/2022
32075.409,1.198,8:54:35 AM,3/29/2022
32076.607,1.219,8:54:37 AM,3/29/2022
32077.826,1.19,8:54:38 AM,3/29/2022
32079.016,1.173,8:54:39 AM,3/29/2022
32080.189,1.076,8:54:40 AM,3/29/2022
32081.265,0.962,8:54:41 AM,3/29/2022
32082.227,0.995,8:54:42 AM,3/29/2022
32083.222,1.107,8:54:43 AM,3/29/2022
